事業所番号,住所,緯度、経度,
1410051026128,神奈川県横浜市都筑区北山田２－２－２９,35.5600177,139.5912534
1410051017192,神奈川県横浜市港北区日吉２－１０－４,35.5561048,139.6450323
1410051018802,神奈川県横浜市神奈川区菅田町４８８,35.4973786,139.5744844
1410051017846,神奈川県横浜市瀬谷区阿久和東３－４５－２,35.4504472,139.5082554
1410051018372,神奈川県横浜市都筑区葛が谷１５－３,35.5356988,139.5633784
1410051023687,神奈川県横浜市戸塚区舞岡町６４７－４,35.4063309,139.5500182
1410051018570,神奈川県横浜市神奈川区神奈川本町１２－６,35.4756094,139.6333552
1410051018588,神奈川県横浜市中区石川町４－１５８－１,35.4372843,139.6396872
1410051025328,神奈川県横浜市保土ケ谷区西谷町９１６－２,35.4777359,139.5679313
1410051024917,神奈川県横浜市神奈川区浦島町４－５,35.4833748,139.6436737
1410051016186,神奈川県横浜市鶴見区鶴見中央１－１８－１０,35.5100532,139.6782412
1410051019644,神奈川県横浜市港北区綱島西１－１６－２７,35.538882,139.6321341
1410051017713,神奈川県横浜市戸塚区舞岡町９９２,35.3979364,139.5495364
1410051013654,神奈川県横浜市神奈川区泉町５－１０６,35.4740609,139.6216298
1410051019784,神奈川県横浜市栄区笠間１－２－２,35.3560516,139.5328309
1410051014504,神奈川県横浜市都筑区中川１－１－１,35.5629836,139.5697367
1410051013688,神奈川県横浜市鶴見区駒岡４－５－３１,35.5349365,139.6595252
1410051017994,神奈川県横浜市神奈川区亀住町１－４,35.4825492,139.6387023
1410051020253,神奈川県横浜市青葉区すすき野２－８－６,35.5776205,139.5266958
1410051017960,神奈川県横浜市神奈川区六角橋２－３４－８,35.4903504,139.6202136
1410051016095,神奈川県横浜市泉区新橋町８１２－２,35.4305839,139.5054748
1410051019537,神奈川県横浜市港南区大久保１－８－４,35.4106529,139.5934135
1410051013761,神奈川県横浜市鶴見区鶴見中央２－１０－６,35.5117744,139.6782064
1410051019792,神奈川県横浜市神奈川区亀住町１－３,35.482622,139.6389121
1410051019594,神奈川県横浜市保土ケ谷区西谷町７４０－２,35.4776886,139.5705894
1410051018612,神奈川県横浜市金沢区大川７－２０,35.3342243,139.6126414
1410051026151,神奈川県横浜市南区清水ケ丘２５,35.4391362,139.6113406
1410051014694,神奈川県横浜市西区久保町３－１３,35.4509802,139.6080483
1410051015394,神奈川県横浜市保土ケ谷区和田１－１５－３,35.4635241,139.5875301
1410051016129,神奈川県横浜市泉区緑園４－４,35.4403154,139.5248178
1410051025567,神奈川県横浜市港南区上大岡西３－９－１,35.4041644,139.5968022
1410051025278,神奈川県横浜市瀬谷区北新１５－４,35.4591535,139.4739724
1410051026078,神奈川県横浜市鶴見区生麦３－７－１１,35.4946236,139.6671921
1410051018547,神奈川県横浜市鶴見区下末吉１－１３－２０,35.5188111,139.6712609
1410051019248,神奈川県横浜市西区みなとみらい４－３－５,35.460008,139.6252245
1410051014009,神奈川県横浜市港南区大久保２－６－２９,35.4073716,139.590256
1410051024875,神奈川県横浜市青葉区新石川２－３－１５,35.5757726,139.5579492
1410051024826,神奈川県横浜市磯子区磯子３－１１－２０,35.4031447,139.6182948
1410051023992,神奈川県横浜市港北区綱島台１７－２３,35.5429616,139.6322585
1410051015881,神奈川県横浜市都筑区仲町台１－１４－２３,35.5344143,139.5909224
1410051019305,神奈川県横浜市西区浜松町１３－６,35.4540219,139.6113145
1410051015352,神奈川県横浜市西区みなとみらい４－７,35.4594708,139.6302265
1410051024677,神奈川県横浜市西区みなとみらい３－７－１,35.4580152,139.6340911
1410051025468,神奈川県横浜市港北区大倉山３－５５－３,35.5227401,139.6253858
1410051024362,神奈川県横浜市保土ケ谷区星川２－１２－６－３,35.4598477,139.5900091
1410051014561,神奈川県横浜市栄区飯島町４８－１,35.3679105,139.530557
1410051020386,神奈川県横浜市瀬谷区二ツ橋町５２７－２,35.4742731,139.4985066
1410051015568,神奈川県横浜市金沢区釜利谷南４－２９－４,35.3393325,139.6011935
1410051018919,神奈川県横浜市旭区上白根町７９５,35.499742,139.5315602
1410051024735,神奈川県横浜市鶴見区市場下町８－３,35.5162838,139.681669
1410051015998,神奈川県横浜市戸塚区川上町８５－１,35.4302506,139.5544206
1410051016517,神奈川県横浜市南区山王町３－２４－８,35.4361557,139.6192293
1410051016459,神奈川県横浜市中区寿町４－１３－１,35.4387397,139.6376826
1410051020394,神奈川県横浜市西区東久保町４－３８,35.447575,139.6088997
1410051017598,神奈川県横浜市都筑区池辺町４６４３,35.5147794,139.5701597
1410051015154,神奈川県横浜市中区石川町２－６４,35.4378704,139.6425361
1410051018000,神奈川県横浜市神奈川区大野町１－２５,35.4672639,139.629277
1410051025542,神奈川県横浜市鶴見区馬場１－１１－５,35.5066544,139.6468073
1410051025831,神奈川県横浜市青葉区荏田西４－５－２,35.5476568,139.5484516
1410051019032,神奈川県横浜市港北区菊名３－１０－２０,35.5058126,139.6380011
1410051025906,神奈川県横浜市神奈川区神大寺３－３５－３,35.4882886,139.6093173
1410051015253,神奈川県横浜市青葉区藤が丘２－３０－３,35.5391914,139.5261515
1410051014678,神奈川県横浜市神奈川区菅田町１７６１－１,35.5008112,139.5875066
1410051016079,神奈川県横浜市泉区下和泉１－１０－１０,35.3909981,139.492631
1410051017788,神奈川県横浜市泉区緑園２－２－３,35.4384105,139.5205823
1410051019172,神奈川県横浜市泉区上飯田町３０５０－３,35.4301842,139.4757984
1410051024230,神奈川県横浜市港北区菊名１－６－１４,35.4983028,139.6319198
1410051017127,神奈川県横浜市港北区新横浜３－２２－１９,35.5123577,139.6184189
1410051013969,神奈川県横浜市南区万世町２－３８－１６,35.435497,139.6298978
1410051024487,神奈川県横浜市港北区日吉本町４－１７－４６,35.5466611,139.6313132
1410051018125,神奈川県横浜市保土ケ谷区峰沢町１４７,35.4779148,139.6006309
1410051019701,神奈川県横浜市青葉区美しが丘２－１７－１６,35.5802274,139.5594523
1410051019438,神奈川県横浜市泉区緑園２－１－３,35.4390315,139.5206916
1410051017051,神奈川県横浜市金沢区谷津町３８４,35.3434115,139.6224378
1410051018364,神奈川県横浜市都筑区茅ケ崎中央４６－５,35.5462626,139.5735776
1410051025104,神奈川県横浜市泉区中田南２－１５－３５,35.4101912,139.5121918
1410051016038,神奈川県横浜市戸塚区戸塚町３４１７,35.3938307,139.5268263
1410051025245,神奈川県横浜市緑区中山５－１－２４,35.511416,139.5399328
1410051020139,神奈川県横浜市保土ケ谷区神戸町１０４－２０,35.4518794,139.5992769
1410051025427,神奈川県横浜市港北区綱島西２－１－７,35.535158,139.633653
1410051026136,神奈川県横浜市都筑区新栄町２１－１２,35.5392923,139.5934035
1410051013837,神奈川県横浜市神奈川区平川町３－６,35.4793146,139.6290784
1410051014280,神奈川県横浜市港北区日吉１－２１－５５,35.5570721,139.6408911
1410051018273,神奈川県横浜市港北区新横浜３－２４－１４,35.5140419,139.6203613
1410051014116,神奈川県横浜市保土ケ谷区神戸町１４０－６,35.4549204,139.5963427
1410051024610,神奈川県横浜市都筑区中川１－６－９,35.561878,139.5693287
1410051013977,神奈川県横浜市南区六ツ川２－６８－１８,35.4209057,139.5814514
1410051017580,神奈川県横浜市都筑区茅ケ崎中央５－１,35.5442223,139.5722386
1410051025963,神奈川県横浜市旭区中希望が丘１４１－６,35.4609116,139.5114065
1410051023620,神奈川県横浜市保土ケ谷区月見台４１－２２,35.450249,139.5973655
1410051023638,神奈川県横浜市神奈川区二ツ谷町６－３,35.4769517,139.6298885
1410051015667,神奈川県横浜市港北区綱島東４－１１－３８,35.5396261,139.6451395
1410051025492,神奈川県横浜市神奈川区西大口４５２－６,35.4940421,139.6359242
1410051016467,神奈川県横浜市中区新山下２－３－１,35.4391601,139.6577718
1410051018430,神奈川県横浜市戸塚区秋葉町１４７－１,35.4227804,139.5461291
1410051019800,神奈川県横浜市保土ケ谷区霞台４１－５,35.4476349,139.5923545
1410051017200,神奈川県横浜市港北区大豆戸町４０－３,35.5194808,139.6341511
1410051014868,神奈川県横浜市金沢区並木２－１３－２,35.3621501,139.6395125
1410051013985,神奈川県横浜市港南区野庭町３４６－２（野庭すずかけ小学校内）,35.3880156,139.5748401
1410051014322,神奈川県横浜市緑区寺山町３５１,35.5087921,139.5378807
1410051014991,神奈川県横浜市緑区長津田４－１２,35.5321199,139.4931685
1410051017465,神奈川県横浜市青葉区田奈町５１－１５,35.5396058,139.4994143
1410051016657,神奈川県横浜市港南区上大岡西３－１０－１７,35.4047035,139.5973145
1410051015105,神奈川県横浜市鶴見区鶴見２－３－２９,35.5075702,139.6697437
1410051026110,神奈川県横浜市青葉区市ケ尾町５２４－１５,35.5438765,139.5440901
1410051025039,神奈川県横浜市西区花咲町６－１４３,35.4565503,139.6251039
1410051014264,神奈川県横浜市港北区菊名４－５－１,35.5096545,139.6357857
1410051014439,神奈川県横浜市青葉区荏田北１－１３－１４,35.5581767,139.5462584
1410051024198,神奈川県横浜市港北区菊名６－３－２０,35.5121094,139.6319502
1410051024172,神奈川県横浜市西区浅間町１－１７－５,35.4647239,139.6111236
1410051019552,神奈川県横浜市港南区港南６－２－８,35.3985124,139.5907306
1410051014231,神奈川県横浜市磯子区洋光台３－１８－２６,35.3808576,139.5964754
1410051013928,神奈川県横浜市中区新山下１－４－１６,35.4420593,139.6553209
1410051014744,神奈川県横浜市南区大岡３－９－１６,35.4157886,139.6022153
1410051018893,神奈川県横浜市保土ケ谷区岩井町２３８,35.4420032,139.6033911
1410051023968,神奈川県横浜市旭区柏町１２７,35.4514747,139.5255386
1410051023612,神奈川県横浜市港南区港南台５－５－１２,35.3718816,139.5780956
1410051015873,神奈川県横浜市都筑区大棚町７４－１２,35.5491912,139.5978339
1410051016798,神奈川県横浜市旭区鶴ケ峰２－３０－１,35.4758737,139.550136
1410051023778,神奈川県横浜市戸塚区汲沢１－２７－６,35.39626,139.5218947
1410051017176,神奈川県横浜市港北区樽町３－６－３８,35.5300988,139.6433525
1410051024560,神奈川県横浜市磯子区西町１０－２,35.4160119,139.6318903
1410051019313,神奈川県横浜市西区岡野２－５－１８,35.4593284,139.6108308
1410051025450,神奈川県横浜市西区伊勢町３－１３３－１,35.4537323,139.6194301
1410051025989,神奈川県横浜市港北区日吉５－１３－４,35.5484173,139.6534194
1410051025682,神奈川県横浜市鶴見区矢向４－２９－３４,35.5347807,139.6836398
1410051018059,神奈川県横浜市南区平楽１３３,35.4321628,139.6314361
1410051014769,神奈川県横浜市南区白金町１－２３－２番地先,35.4389485,139.6207895
1410051019750,神奈川県横浜市都筑区佐江戸町２０８９－１,35.5193967,139.5608417
1410051014926,神奈川県横浜市港北区篠原町３１１２－１６,35.5025324,139.6147838
1410051025344,神奈川県横浜市戸塚区戸塚町４８９０－１,35.4012566,139.5300493
1410051020188,神奈川県横浜市旭区白根７－３１－３,35.4864421,139.551773
1410051024032,神奈川県横浜市緑区長津田６－７－７,35.5300289,139.4975435
1410051016418,神奈川県横浜市中区南仲通４－４７,35.448564,139.6376438
1410051016913,神奈川県横浜市磯子区岡村５－３－２０,35.4159311,139.6082459
1410051023745,神奈川県横浜市神奈川区松本町５－３７－２,35.4776549,139.6190459
1410051013662,神奈川県横浜市鶴見区元宮１－１７－３３,35.5237122,139.683428
1410051015923,神奈川県横浜市都筑区仲町台５－６－１１,35.5350926,139.5870772
1410051016822,神奈川県横浜市旭区鶴ケ峰２－３０－１,35.4758737,139.550136
1410051025476,神奈川県横浜市港北区菊名６－１５－１４,35.514577,139.630878
1410051024818,神奈川県横浜市磯子区磯子３－３－２２,35.4036296,139.6193196
1410051025518,神奈川県横浜市緑区鴨居１－９－１４,35.5103237,139.5661745
1410051026144,神奈川県横浜市戸塚区平戸町７３８－１,35.4265382,139.5601651
1410051018356,神奈川県横浜市都筑区北山田４－７－３,35.5632285,139.5852781
1410051015576,神奈川県横浜市金沢区平潟町１２－１,35.3323697,139.6310974
1410051023471,神奈川県横浜市青葉区榎が丘２－３,35.5406245,139.515869
1410051013845,神奈川県横浜市神奈川区西寺尾３－２－１３,35.4958938,139.6484375
1410051013910,神奈川県横浜市中区元町１－１１－３,35.4416828,139.6514165
1410051015683,神奈川県横浜市港北区綱島西３－４－８,35.5370635,139.629407
1410051014876,神奈川県横浜市金沢区柳町１－１３,35.3264693,139.6210605
1410051026466,神奈川県横浜市港北区大倉山１－１５－２１,35.5204863,139.6308617
1410051019693,神奈川県横浜市緑区中山１－２１－５,35.516046,139.5398532
1410051025336,神奈川県横浜市保土ケ谷区仏向町８４５－１５,35.4609251,139.5858386
1410051025724,神奈川県横浜市南区吉野町１－１－５,35.4366272,139.62189
1410051020212,神奈川県横浜市金沢区釜利谷東１－１－３,35.3401926,139.6181451
1410051014447,神奈川県横浜市青葉区あざみ野南２－４－７,35.5619014,139.5503509
1410051015162,神奈川県横浜市南区宿町４－７５－１,35.4296956,139.6084136
1410051014512,神奈川県横浜市戸塚区柏尾町９０９－１,35.4162085,139.5470885
1410051024651,神奈川県横浜市戸塚区下倉田町５９６,35.3857227,139.5403632
1410051024594,神奈川県横浜市港北区新横浜２－１１,35.507934,139.612343
1410051025526,神奈川県横浜市緑区十日市場町１２５８－９２,35.5217093,139.5149194
1410051016442,神奈川県横浜市中区本牧元町７２－１,35.4169025,139.6655827
1410051017291,神奈川県横浜市緑区小山町２９２,35.5202143,139.5385404
1410051014074,神奈川県横浜市保土ケ谷区西谷町９０９－１,35.4772315,139.5677762
1410051015451,神奈川県横浜市旭区白根５－１３－１,35.4875688,139.5426283
1410051014702,神奈川県横浜市西区桜木町７－４２,35.4590985,139.6228001
1410051024024,神奈川県横浜市港北区日吉５－２１－１,35.54594,139.6546886
1410051025799,神奈川県横浜市保土ケ谷区川島町８７０,35.4724688,139.5701774
1410051018117,神奈川県横浜市保土ケ谷区今井町５０２－５,35.4538947,139.5583034
1410051014827,神奈川県横浜市港南区下永谷２－７－２４,35.409094,139.5670846
1410051018018,神奈川県横浜市神奈川区白楽１００－５,35.489839,139.627587
1410051019917,神奈川県横浜市磯子区森２－１５－４６,35.396797,139.6122173
1410051020089,神奈川県横浜市港南区大久保２－２８－２７,35.410107,139.5879222
1410051015261,神奈川県横浜市青葉区松風台１８－１０,35.5461257,139.5085565
1410051017101,神奈川県横浜市港北区日吉７－２０－４４,35.5431376,139.6483612
1410051019370,神奈川県横浜市青葉区あざみ野２－８－１３,35.5675141,139.5516228
1410051018398,神奈川県横浜市都筑区南山田２－２６－８,35.5573959,139.5881219
1410051016558,神奈川県横浜市南区六ツ川３－７８－１０,35.4281891,139.5799834
1410051017887,神奈川県横浜市鶴見区鶴見１－３－１６,35.5021264,139.671765
1410051019388,神奈川県横浜市都筑区中川１－１９－１,35.5631823,139.5705847
1410051025971,神奈川県横浜市港北区樽町２－３－１,35.530339,139.6385741
1410051018737,神奈川県横浜市戸塚区品濃町５１０－４,35.42666,139.5600073
1410051014793,神奈川県横浜市南区山王町４－２５,35.4359641,139.6176233
1410051017556,神奈川県横浜市都筑区牛久保１－２２－１７,35.5601756,139.5819077
1410051018166,神奈川県横浜市金沢区釜利谷東２－１９－３５,35.3451335,139.6174185
1410051018240,神奈川県横浜市港北区日吉本町５－７４－１,35.5504469,139.6267809
1410051017309,神奈川県横浜市緑区台村町３９９,35.5147922,139.533588
