【令和４年４月１日時点】　受入可能数,,,,,,,,,,,,
施設所在区,標準地域コード,施設・事業名,施設番号,０歳児,１歳児,２歳児,３歳児,４歳児,５歳児,合計,更新日,
鶴見区,14101,東漸保育園,1410051016228,-,0,1,3,3,3,10,2022-04-01,
鶴見区,14101,わくわくの森保育園,1410051013811,1,0,0,0,0,0,1,2022-04-01,
鶴見区,14101,ねむの樹　元宮保育園,1410051019495,0,5,1,0,2,1,9,2022-04-01,
鶴見区,14101,鶴見ルーナ保育園,1410051016202,5,0,3,0,1,0,9,2022-04-01,
鶴見区,14101,太陽の子　尻手保育園,1410051013712,3,1,2,1,2,0,9,2022-04-01,
鶴見区,14101,市場保育園,1410051013662,0,1,0,1,5,0,7,2022-04-01,
鶴見区,14101,わおわお保育園,1410051015345,2,0,0,0,0,0,2,2022-04-01,
鶴見区,14101,ミアヘルサ保育園ひびき矢向,1410051016210,5,1,0,0,0,1,7,2022-04-01,
鶴見区,14101,矢向あけぼの保育園,1410051016244,4,0,2,1,0,0,7,2022-04-01,
鶴見区,14101,明日葉保育園鶴見園,1410051026524,3,0,2,1,2,0,8,2022-04-01,
鶴見区,14101,オハナ鶴見保育園,1410051024735,1,0,0,0,2,1,4,2022-04-01,
鶴見区,14101,市場ポケット保育園,1410051023851,1,0,0,0,1,1,3,2022-04-01,
鶴見区,14101,太陽の子　鶴見市場保育園,1410051023943,0,0,0,0,3,0,3,2022-04-01,
鶴見区,14101,尻手すきっぷ保育園,1410051024313,2,1,1,0,1,2,7,2022-04-01,
鶴見区,14101,横浜矢向雲母保育園,1410051025682,1,0,1,0,3,0,5,2022-04-01,
鶴見区,14101,ぶれすと尻手ほいくえん,1410051024453,3,0,0,0,0,1,4,2022-04-01,
鶴見区,14101,こあらっこはうす　ル・ソレイユ,1410051024149,2,0,1,0,0,1,4,2022-04-01,
鶴見区,14101,ゆめいろ保育園,1410051017929,3,0,2,0,0,0,5,2022-04-01,
鶴見区,14101,Gakkenほいくえん矢向,1410051018521,-,2,4,0,1,0,7,2022-04-01,
鶴見区,14101,矢向保育園,1410051017911,4,0,4,3,3,0,14,2022-04-01,
鶴見区,14101,ベネッセ　矢向保育園,1410051015139,5,0,2,1,1,2,11,2022-04-01,
鶴見区,14101,スターチャイルド≪矢向ナーサリー≫,1410051023513,0,0,0,1,0,0,1,2022-04-01,
鶴見区,14101,新鶴見はなかご保育園,1410051013696,0,0,0,0,0,0,0,2022-04-01,
鶴見区,14101,わおわお江ヶ崎保育園,1410051019453,0,0,2,0,0,0,2,2022-04-01,
鶴見区,14101,木下の保育園　江ヶ崎,1410051024537,0,0,1,0,0,2,3,2022-04-01,
鶴見区,14101,幸いづみ保育園,1410099000001,3,0,0,1,0,0,4,2022-04-01,
鶴見区,14101,認定こども園　若葉幼稚園,1410051023919,-,-,-,1,3,1,5,2022-04-01,
鶴見区,14101,幼保連携型認定こども園　あさひ台幼稚園,1410051025286,-,0,0,1,0,0,1,2022-04-01,
鶴見区,14101,認定こども園　ＹＭＣＡつるみ保育園,1410051025765,2,0,0,3,0,0,5,2022-04-01,
鶴見区,14101,三色えのぐの保育園,1410052003266,3,5,2,-,-,-,10,2022-04-01,
鶴見区,14101,ユニコーン・キッズクラブ,1410052004231,4,0,2,-,-,-,6,2022-04-01,
鶴見区,14101,鶴見ハート保育園,1410052004249,3,,,-,-,-,3,2022-04-01,
鶴見区,14101,鶴見Ａｓａ保育園,1410052004751,2,3,0,-,-,-,5,2022-04-01,
鶴見区,14101,ぶれすと元宮ほいくえん,1410052005147,-,10,1,-,-,-,11,2022-04-01,
鶴見区,14101,森の子,1410052002763,-,-,3,-,-,-,3,2022-04-01,
鶴見区,14101,尻手スマイル保育園,1410052004876,2,6,1,-,-,-,9,2022-04-01,
鶴見区,14101,矢向つぼみ保育園,1410052005626,2,2,1,-,-,-,5,2022-04-01,
鶴見区,14101,北寺尾むつみ小規模保育施設,1410052003183,-,0,0,-,-,-,0,2022-04-01,
鶴見区,14101,北寺尾４丁目むつみ小規模保育施設,1410052004942,-,0,0,-,-,-,0,2022-04-01,
鶴見区,14101,フラッフィー小規模保育園,1410052005618,-,0,0,-,-,-,0,2022-04-01,
鶴見区,14101,桑の実馬場保育園,1410052003241,0,0,0,-,-,-,0,2022-04-01,
鶴見区,14101,ひまわりニコニコ保育園,1410052005519,3,1,0,-,-,-,4,2022-04-01,
鶴見区,14101,ロビン小規模保育園,1410052005139,-,4,1,-,-,-,5,2022-04-01,
鶴見区,14101,ＳＡＩＬ　ＫＩＤ保育園,1410052004769,4,0,3,-,-,-,7,2022-04-01,
鶴見区,14101,鶴見中央ハート保育園,1410052005170,4,,,-,-,-,4,2022-04-01,
鶴見区,14101,鶴見ぬくもり保育園,1410052005493,1,3,3,-,-,-,7,2022-04-01,
鶴見区,14101,きらぼし保育園,1410052005121,2,2,2,-,-,-,6,2022-04-01,
鶴見区,14101,おれんじハウス鶴見保育園,1410052005162,1,1,1,-,-,-,3,2022-04-01,
鶴見区,14101,しおつるばしハート保育園,1410052004637,6,,,-,-,-,6,2022-04-01,
鶴見区,14101,ひだまりの保育園,1410052005196,3,3,0,-,-,-,6,2022-04-01,
鶴見区,14101,鶴見サンフラワー保育園,1410052005501,1,3,1,-,-,-,5,2022-04-01,
鶴見区,14101,つるみ共育保育園,1410052005204,-,3,2,-,-,-,5,2022-04-01,
鶴見区,14101,鶴見なのはな保育園,1410052005451,0,2,2,-,-,-,4,2022-04-01,
鶴見区,14101,田村家庭保育室,1410052003670,0,0,0,-,-,-,0,2022-04-01,
神奈川区,14102,横浜市西菅田保育園,1410051018802,-,0,1,2,3,1,7,2022-04-01,
神奈川区,14102,保育園こりす,1410051014678,0,0,0,0,0,0,0,2022-04-01,
神奈川区,14102,あおぞら菅田保育園,1410051025260,-,1,0,0,0,0,1,2022-04-01,
神奈川区,14102,羽沢保育園,1410051013886,1,0,0,0,4,0,5,2022-04-01,
神奈川区,14102,アイン三枚町保育園,1410051019511,0,0,1,1,0,0,2,2022-04-01,
神奈川区,14102,コビープリスクールかたくら,1410051025484,0,0,0,0,1,1,2,2022-04-01,
神奈川区,14102,Gakkenほいくえん片倉,1410051019503,0,0,1,2,1,2,6,2022-04-01,
神奈川区,14102,空と杜の保育園かんだいじ,1410051027464,1,0,2,3,7,6,19,2022-04-01,
神奈川区,14102,あおぞら保育園,1410051017978,1,0,0,5,4,0,10,2022-04-01,
神奈川区,14102,ポピンズナーサリースクール片倉町,1410051019222,0,0,0,0,0,0,0,2022-04-01,
神奈川区,14102,横浜市神大寺保育園,1410051018794,-,0,0,0,6,7,13,2022-04-01,
神奈川区,14102,こころキッズ,1410051026607,-,0,0,0,3,8,11,2022-04-01,
神奈川区,14102,ポピンズナーサリースクール片倉町駅前,1410051026722,-,0,1,0,0,1,2,2022-04-01,
神奈川区,14102,スターチャイルド≪三ッ沢上町ナーサリー≫,1410051024958,0,0,0,0,0,0,0,2022-04-01,
神奈川区,14102,三ツ沢保育園,1410051025195,-,0,0,3,4,2,9,2022-04-01,
神奈川区,14102,フレール保育園,1410051024156,0,0,0,0,0,1,1,2022-04-01,
神奈川区,14102,いずみ松本町保育園,1410051023745,0,0,0,0,2,0,2,2022-04-01,
神奈川区,14102,アイン松本町保育園,1410051017952,0,0,0,0,1,3,4,2022-04-01,
神奈川区,14102,いずみ反町保育園,1410051013654,0,0,0,0,2,1,3,2022-04-01,
神奈川区,14102,アイン高島台保育園,1410051018026,0,0,2,0,0,1,3,2022-04-01,
神奈川区,14102,Gakkenほいくえん反町,1410051024768,0,0,0,1,3,3,7,2022-04-01,
神奈川区,14102,いずみ反町公園保育園,1410051024438,-,0,0,0,0,3,3,2022-04-01,
神奈川区,14102,小鳩保育園,1410051016293,6,0,0,3,1,2,12,2022-04-01,
神奈川区,14102,小鳩保育園分園,1410051016285,3,0,1,3,1,1,9,2022-04-01,
神奈川区,14102,エンゼル保育園,1410051018570,-,0,0,1,0,1,2,2022-04-01,
神奈川区,14102,かながわ保育園,1410051027035,0,0,0,1,2,3,6,2022-04-01,
神奈川区,14102,きゃんばす東神奈川保育園,1410051025708,4,0,0,1,0,8,13,2022-04-01,
神奈川区,14102,たいせつ保育園,1410051023638,4,1,4,-,-,-,9,2022-04-01,
神奈川区,14102,メリーポピンズ東神奈川ルーム,1410051016350,-,0,0,0,2,0,2,2022-04-01,
神奈川区,14102,反町ひかり保育園,1410051027266,0,0,2,1,3,2,8,2022-04-01,
神奈川区,14102,いずみ東白楽保育園,1410051013837,0,0,0,0,2,0,2,2022-04-01,
神奈川区,14102,めばえ横浜保育園,1410051015147,0,1,5,6,3,3,18,2022-04-01,
神奈川区,14102,キッズパートナー六角橋,1410051024792,0,0,1,0,2,4,7,2022-04-01,
神奈川区,14102,グローバルキッズ白楽園,1410051014660,4,0,1,2,1,0,8,2022-04-01,
神奈川区,14102,スターチャイルド≪白楽ナーサリー≫,1410051024941,0,0,0,1,0,3,4,2022-04-01,
神奈川区,14102,あおぞら第２保育園,1410051017960,4,0,0,1,0,1,6,2022-04-01,
神奈川区,14102,マフィス白楽ナーサリー,1410051026763,0,0,0,2,0,2,4,2022-04-01,
神奈川区,14102,スターチャイルド≪岸根公園ナーサリー≫,1410051024339,0,0,0,1,0,0,1,2022-04-01,
神奈川区,14102,白楽あいいく保育園,1410051018018,1,0,0,1,1,2,5,2022-04-01,
神奈川区,14102,キッズラボ白楽園,1410051024446,0,0,0,1,8,4,13,2022-04-01,
神奈川区,14102,白幡フレール保育園,1410051016301,0,0,0,1,0,1,2,2022-04-01,
神奈川区,14102,白幡保育園,1410051013860,2,2,0,5,0,0,9,2022-04-01,
神奈川区,14102,キッズパートナー妙蓮寺,1410051025492,0,0,0,1,1,6,8,2022-04-01,
神奈川区,14102,横浜市松見保育園,1410051018810,1,0,0,1,2,4,8,2022-04-01,
神奈川区,14102,ブライト保育園横浜松見町,1410051024966,0,1,0,1,1,3,6,2022-04-01,
神奈川区,14102,ひびき保育園,1410051016327,0,0,1,0,0,0,1,2022-04-01,
神奈川区,14102,西寺尾保育園,1410051016319,2,0,0,4,4,5,15,2022-04-01,
